index,year,Greenland,North America,Norway,Svalbard,Iceland,Russian High Arctic Islands,Finland,Eurasia,North Atlantic,Gulf of Bothnia,Baffin Bay,Hudson Bay,Arctic Ocean,Northern Hemisphere,Global,Arctic
0,1950,-19.10179392496745,-11.519553468873104,0.4737902507185936,-9.303676014145216,1.4380432864030201,-11.620220338304838,2.55781556169192,-7.887456513941288,-1.4106127793590229,4.7480539580186205,-9.906387721498808,-10.841927816470465,-14.59221039712429,4.51154994747291,4.476517756779988,-13.43855069577694
1,1951,-19.88719602425893,-11.490309730172157,1.0081407924493153,-11.438010280330976,1.194226821263631,-12.505687939623991,2.1450545688470206,-7.18707508345445,-2.231428592155377,4.449752867221832,-9.952602644761404,-10.541613936424255,-14.562886893749237,4.620994623129566,4.643323580423991,-13.506383339564005
2,1952,-18.40696128209432,-10.734277367591858,0.1261923611164093,-10.23641182978948,1.5195821623007457,-11.949642177671194,1.4533045639594395,-8.43948476202786,-1.7778973281383514,3.6602306365966797,-9.18897138039271,-9.879836360613504,-13.932964506248632,4.732071246098106,4.563669542471568,-13.016807953516642
3,1953,-19.300454060236614,-10.698129570732513,2.4488032509883246,-9.55698765317599,2.436858009546995,-10.835574050744375,2.804401452342669,-6.718052804470062,-1.5623362014691036,5.111174623171489,-8.740339922408262,-9.789522990584373,-13.969385198007027,4.9346554179986315,4.649743020534515,-12.804230769475302
4,1954,-18.573858936627705,-10.990519737203917,1.1238848517338436,-8.365491331244508,1.9213164274891217,-10.757789542277655,2.5452598047753177,-7.281734138727188,-1.4185433574020863,4.369487700363,-8.797830546895662,-10.632595707972845,-13.881360391775766,4.764312729239464,4.409845352172852,-12.750462343295416
5,1955,-19.127430359522503,-11.358368093768755,-0.2619375561674436,-10.914212961991629,1.5835152467091878,-13.423400990664959,-0.2354891300201416,-8.020304481188456,-2.388928030927976,3.51366334160169,-8.510938838124275,-9.259149673394859,-15.324824606378874,4.465805227557818,4.3642322818438215,-13.971263259649277
6,1956,-19.42114595572154,-12.217573990424475,-0.5971409523238739,-8.239636580149332,2.4994561076164246,-10.617467567324638,0.08370918035507202,-7.5709205493330956,-1.5919691349069278,3.2060833064218364,-9.920486564437548,-10.843679904937744,-13.898562325785557,4.53738950441281,4.483641505241394,-13.04008745153745
7,1957,-19.230400284131367,-10.756467570861181,1.0876218962172668,-9.729093889395395,0.9708039412895838,-13.572144043942293,2.2221272264917693,-7.6964906851450605,-1.487640352298816,4.310472562598686,-10.007919718821844,-10.458019922176996,-14.382610167066256,4.683974386716727,4.594431320826213,-13.342518538236618
8,1958,-18.92131237188975,-10.396809816360474,0.17321445047855377,-10.043366021166245,0.5875311295191447,-13.675003615518412,0.5854582094664996,-8.780811642607054,-1.6728652377302449,3.59111724793911,-9.10405845195055,-9.462165425221125,-14.423908268411955,4.7403825136522455,4.712233702341716,-13.473845000068346
9,1959,-19.070383826891582,-11.482448880871138,2.0474674478173256,-9.591527791072926,0.9641056085626284,-11.279438543443879,2.61650708069404,-6.78570897380511,-1.4006121897449095,4.832940345009168,-9.260653545459112,-9.901735427478949,-13.658917201062044,4.90916013220946,4.7604319254557295,-12.693380882342657
10,1960,-18.028226017951965,-10.525576397776604,1.0355740239222844,-9.469513724247614,1.4336983586351078,-13.388028013209501,1.9211335182189941,-8.146337697903315,-0.8991277491052946,4.024510711431503,-7.858843182524045,-8.943400839964548,-14.36523943891128,4.793398449507852,4.580194354057312,-13.051361113786697
11,1961,-19.46718390782674,-12.025860885779062,0.9258740146954855,-10.133264534485837,0.7975964943567911,-12.541306359072527,3.1618742048740387,-7.355137238899867,-1.7126508727669716,4.79810710127155,-9.978448224564394,-10.051248376568159,-14.840934040645758,4.658547836045424,4.672082682450612,-13.689348553617796
12,1962,-19.087094684441883,-10.642908478776613,-0.9439781606197357,-11.617822828392187,0.07507151241103809,-13.571847528219223,1.281556246181329,-6.746938019990921,-1.8626463909943898,3.599758585294088,-8.388288214802742,-10.30035224556923,-14.481952744031636,4.807199875513713,4.618548492590587,-13.253827847540379
13,1963,-18.83419672648112,-10.647557884454727,-0.1449295977751414,-12.653842049340406,0.20642363031705221,-15.419012159109116,1.3736971616744995,-7.502865066130956,-2.227279268205166,4.150066291292508,-7.53100519751509,-10.298484727740288,-15.466214127838612,4.618045302728812,4.642774005730947,-13.942921618620554
14,1964,-19.292625268300373,-12.003030493855476,0.5311505397160848,-9.546301210920015,1.000784640510877,-13.602866341670355,1.9326667884985607,-8.143616431082288,-2.0090669244527817,4.171782897164424,-9.55141569674015,-11.080528820554415,-15.369612837520739,4.338234348843495,4.345886528491974,-14.07395269970099
15,1965,-18.470803380012512,-11.287158578634262,-0.6993133847912153,-10.93520882104834,-0.02743341525395711,-13.039420947432518,1.1155128081639607,-8.327743371327719,-2.3088698039452233,3.794472706814607,-8.40479406962792,-10.571949392557144,-14.30912085622549,4.576677481333415,4.5745858152707415,-13.340744460622469
16,1966,-20.216588020324707,-11.42709186176459,-1.570054292678833,-12.385710996265212,-0.5297613789637884,-13.853490789731344,-0.3905772765477498,-8.846584310134253,-2.6758393943309784,3.247220436731974,-8.917508957286676,-9.746485188603401,-15.088467280069986,4.439555958534281,4.543468912442525,-14.096888738373915
17,1967,-19.06326597929001,-11.305015375216803,1.2351690847426653,-10.528633790711561,0.4014534776409467,-12.235134621461233,2.3556292355060577,-6.392670571804047,-2.3918153569102287,4.670836267371972,-9.563978530466557,-11.17503134906292,-13.845297257105509,4.849130650361379,4.670704444249471,-12.913803001244863
18,1968,-18.64820941289266,-10.860393931468328,0.25290686388810474,-13.059370184938112,0.44971433902780217,-14.19564302265644,0.4562513219813506,-8.00899534424146,-3.1844677130381265,3.819975048303604,-8.696686118841171,-9.55042693639795,-14.591343492269516,4.567517017324765,4.54831447203954,-13.584567631284395
19,1969,-18.61945519844691,-10.135029969116053,0.6589693514009317,-10.256095026930174,0.23390897115071616,-12.61236102009813,0.4199846138556798,-8.786404264469942,-2.7289390737035624,4.103646591305733,-8.287523314356804,-8.913672786206007,-14.165762417639295,4.6032063116629915,4.66296390692393,-13.15663793683052
20,1970,-18.743268648783367,-11.070876767237982,0.5504002571105957,-10.018012868861357,0.5520989124973615,-13.281028722723326,1.3632763822873433,-7.854932758957148,-2.2122900411486626,4.002538084983826,-9.411234946300587,-10.643976017832756,-14.368553342918554,4.631993477543195,4.67905330657959,-13.34436716636022
21,1971,-20.022784213225048,-11.295932867874702,1.0029423336188,-10.67643066495657,0.7293924962480863,-12.597571551799774,0.7661146521568298,-7.296998520692189,-2.614430397748947,4.100597700724999,-9.870799131691456,-9.720468431711197,-13.873585626482964,4.670353292177121,4.616801897684733,-13.13821949561437
22,1972,-18.767899592717487,-12.815545399983725,2.0143647869505608,-7.048048911616206,2.036766592413187,-12.218147668677071,3.0062877107411623,-8.117259444048008,-1.217511539037029,5.0853262431919575,-11.247983405987421,-13.162231367081404,-13.729971552888552,4.543070016118388,4.731473545233409,-13.051588560144106
23,1973,-19.4732506275177,-10.375429858764013,1.2191691001256306,-10.219387881457806,0.3547757510095835,-13.13104980190595,1.6811859607696533,-7.122985194126765,-2.4632302721341452,5.110491308073203,-8.743302916487059,-9.326921363671621,-13.60335753361384,4.918061628937721,4.762932300567627,-12.818673253059387
24,1974,-19.152293781439464,-12.061190540591875,2.2408180634180703,-7.091216623783112,1.6846129149198532,-11.823781048258146,3.420861419290304,-8.123950694998106,-1.1580309104174376,5.725539724032084,-10.013261081340412,-10.97059271732966,-13.317488888899485,4.708152928700049,4.554382046063741,-12.80493738874793
25,1975,-19.838116506735485,-11.38179199397564,2.208853075901667,-10.525045171380043,0.5647611664608121,-12.405109338462353,3.0435196409622827,-6.482040554285049,-2.3175862953066826,5.963279162844022,-9.824275741974512,-9.83535415927569,-14.519645618895689,4.687205549329519,4.518644014994304,-13.385911762714386
26,1976,-18.25578119357427,-11.0451620866855,0.6757074743509293,-7.725922691325347,1.5218362814436357,-11.842537512381872,0.38989915512502193,-8.168784864246845,-1.5232228363553684,4.063263385246198,-9.406438779085875,-10.757381066679955,-13.836093567311764,4.588653971751531,4.430519620577495,-12.91468596458435
